,GEOID,month,filings_2020
598,78642,03/2022,0
599,78642,04/2022,0
600,78642,05/2022,0
601,78642,06/2022,0
602,78642,07/2022,0
603,78642,08/2022,0
604,78642,09/2022,0
605,78642,10/2022,0
606,78642,11/2022,0
607,78642,12/2022,0
608,78642,01/2023,0
609,78642,02/2023,0
610,78642,03/2023,0
611,78642,04/2023,0
612,78642,05/2023,0
613,78642,06/2023,0
614,78642,07/2023,0
615,78642,08/2023,0
616,78645,01/2020,4
617,78645,02/2020,3
618,78645,03/2020,1
619,78645,04/2020,1
620,78645,05/2020,1
621,78645,06/2020,2
622,78645,07/2020,1
623,78645,08/2020,0
624,78645,09/2020,0
625,78645,10/2020,0
626,78645,11/2020,0
627,78645,12/2020,1
628,78645,01/2021,0
629,78645,02/2021,1
630,78645,03/2021,0
631,78645,04/2021,2
632,78645,05/2021,5
633,78645,06/2021,2
634,78645,07/2021,1
635,78645,08/2021,4
636,78645,09/2021,1
637,78645,10/2021,2
638,78645,11/2021,0
639,78645,12/2021,1
640,78645,01/2022,2
641,78645,02/2022,0
642,78645,03/2022,2
643,78645,04/2022,2
644,78645,05/2022,3
645,78645,06/2022,0
646,78645,07/2022,7
647,78645,08/2022,8
648,78645,09/2022,6
649,78645,10/2022,4
650,78645,11/2022,3
651,78645,12/2022,1
652,78645,01/2023,5
653,78645,02/2023,0
654,78645,03/2023,2
655,78645,04/2023,4
656,78645,05/2023,3
657,78645,06/2023,4
658,78645,07/2023,3
659,78645,08/2023,0
660,78652,01/2020,1
661,78652,02/2020,0
662,78652,03/2020,0
663,78652,04/2020,0
664,78652,05/2020,0
665,78652,06/2020,0
666,78652,07/2020,0
667,78652,08/2020,0
668,78652,09/2020,0
669,78652,10/2020,0
670,78652,11/2020,0
671,78652,12/2020,0
672,78652,01/2021,1
673,78652,02/2021,0
674,78652,03/2021,0
675,78652,04/2021,0
676,78652,05/2021,0
677,78652,06/2021,0
678,78652,07/2021,0
679,78652,08/2021,0
680,78652,09/2021,0
681,78652,10/2021,0
682,78652,11/2021,0
683,78652,12/2021,1
684,78652,01/2022,1
685,78652,02/2022,0
686,78652,03/2022,3
687,78652,04/2022,1
688,78652,05/2022,0
689,78652,06/2022,0
690,78652,07/2022,1
691,78652,08/2022,2
692,78652,09/2022,0
693,78652,10/2022,4
694,78652,11/2022,0
695,78652,12/2022,4
696,78652,01/2023,1
697,78652,02/2023,0
698,78652,03/2023,0
699,78652,04/2023,0
700,78652,05/2023,1
701,78652,06/2023,1
702,78652,07/2023,0
703,78652,08/2023,0
704,78653,01/2020,1
705,78653,02/2020,5
706,78653,03/2020,5
707,78653,04/2020,0
708,78653,05/2020,0
709,78653,06/2020,1
710,78653,07/2020,1
711,78653,08/2020,0
712,78653,09/2020,0
713,78653,10/2020,1
714,78653,11/2020,0
715,78653,12/2020,2
716,78653,01/2021,1
717,78653,02/2021,3
718,78653,03/2021,3
719,78653,04/2021,2
720,78653,05/2021,3
721,78653,06/2021,2
722,78653,07/2021,5
723,78653,08/2021,2
724,78653,09/2021,5
725,78653,10/2021,1
726,78653,11/2021,3
727,78653,12/2021,3
728,78653,01/2022,5
729,78653,02/2022,1
730,78653,03/2022,3
731,78653,04/2022,1
732,78653,05/2022,5
733,78653,06/2022,4
734,78653,07/2022,8
735,78653,08/2022,18
736,78653,09/2022,6
737,78653,10/2022,12
738,78653,11/2022,7
739,78653,12/2022,5
740,78653,01/2023,26
741,78653,02/2023,15
742,78653,03/2023,13
743,78653,04/2023,13
744,78653,05/2023,21
745,78653,06/2023,25
746,78653,07/2023,11
747,78653,08/2023,1
748,78654,01/2020,0
749,78654,02/2020,0
750,78654,03/2020,0
751,78654,04/2020,0
752,78654,05/2020,0
753,78654,06/2020,1
754,78654,07/2020,0
755,78654,08/2020,0
756,78654,09/2020,0
757,78654,10/2020,0
758,78654,11/2020,0
759,78654,12/2020,0
760,78654,01/2021,0
761,78654,02/2021,0
762,78654,03/2021,0
763,78654,04/2021,0
764,78654,05/2021,0
765,78654,06/2021,0
766,78654,07/2021,0
767,78654,08/2021,0
768,78654,09/2021,0
769,78654,10/2021,0
770,78654,11/2021,1
771,78654,12/2021,0
772,78654,01/2022,1
773,78654,02/2022,0
774,78654,03/2022,0
775,78654,04/2022,1
776,78654,05/2022,0
777,78654,06/2022,0
778,78654,07/2022,0
779,78654,08/2022,0
780,78654,09/2022,0
781,78654,10/2022,1
782,78654,11/2022,0
783,78654,12/2022,0
784,78654,01/2023,0
785,78654,02/2023,1
786,78654,03/2023,1
787,78654,04/2023,0
788,78654,05/2023,0
789,78654,06/2023,0
790,78654,07/2023,0
791,78654,08/2023,0
792,78660,01/2020,78
793,78660,02/2020,72
794,78660,03/2020,38
795,78660,04/2020,0
796,78660,05/2020,2
797,78660,06/2020,28
798,78660,07/2020,5
799,78660,08/2020,1
800,78660,09/2020,9
801,78660,10/2020,4
802,78660,11/2020,4
803,78660,12/2020,3
804,78660,01/2021,7
805,78660,02/2021,5
806,78660,03/2021,13
807,78660,04/2021,7
808,78660,05/2021,4
809,78660,06/2021,6
810,78660,07/2021,13
811,78660,08/2021,4
812,78660,09/2021,9
813,78660,10/2021,9
814,78660,11/2021,12
815,78660,12/2021,21
816,78660,01/2022,36
817,78660,02/2022,63
818,78660,03/2022,110
819,78660,04/2022,68
820,78660,05/2022,63
821,78660,06/2022,63
822,78660,07/2022,46
823,78660,08/2022,44
824,78660,09/2022,61
825,78660,10/2022,78
826,78660,11/2022,47
827,78660,12/2022,50
828,78660,01/2023,91
829,78660,02/2023,57
830,78660,03/2023,78
831,78660,04/2023,50
832,78660,05/2023,58
833,78660,06/2023,103
834,78660,07/2023,75
835,78660,08/2023,3
836,78663,01/2020,0
837,78663,02/2020,0
838,78663,03/2020,0
839,78663,04/2020,0
840,78663,05/2020,0
841,78663,06/2020,0
842,78663,07/2020,0
843,78663,08/2020,0
844,78663,09/2020,0
845,78663,10/2020,0
846,78663,11/2020,0
847,78663,12/2020,0
848,78663,01/2021,0
849,78663,02/2021,0
850,78663,03/2021,0
851,78663,04/2021,0
852,78663,05/2021,0
853,78663,06/2021,0
854,78663,07/2021,0
855,78663,08/2021,0
856,78663,09/2021,0
857,78663,10/2021,0
858,78663,11/2021,0
859,78663,12/2021,0
860,78663,01/2022,0
861,78663,02/2022,0
862,78663,03/2022,0
863,78663,04/2022,0
864,78663,05/2022,0
865,78663,06/2022,0
866,78663,07/2022,0
867,78663,08/2022,0
868,78663,09/2022,0
869,78663,10/2022,0
870,78663,11/2022,0
871,78663,12/2022,0
872,78663,01/2023,0
873,78663,02/2023,0
874,78663,03/2023,1
875,78663,04/2023,0
876,78663,05/2023,0
877,78663,06/2023,0
878,78663,07/2023,0
879,78663,08/2023,0
880,78664,01/2020,4
881,78664,02/2020,1
882,78664,03/2020,2
883,78664,04/2020,0
884,78664,05/2020,1
885,78664,06/2020,0
886,78664,07/2020,0
887,78664,08/2020,0
888,78664,09/2020,1
889,78664,10/2020,0
890,78664,11/2020,1
891,78664,12/2020,0
892,78664,01/2021,0
893,78664,02/2021,0
894,78664,03/2021,2
895,78664,04/2021,0
896,78664,05/2021,1
897,78664,06/2021,1
898,78664,07/2021,1
899,78664,08/2021,1
900,78664,09/2021,1
901,78664,10/2021,1
902,78664,11/2021,0
903,78664,12/2021,0
904,78664,01/2022,0
905,78664,02/2022,8
906,78664,03/2022,1
907,78664,04/2022,4
908,78664,05/2022,2
909,78664,06/2022,1
910,78664,07/2022,1
911,78664,08/2022,1
912,78664,09/2022,2
913,78664,10/2022,4
914,78664,11/2022,9
915,78664,12/2022,1
916,78664,01/2023,7
917,78664,02/2023,3
918,78664,03/2023,6
919,78664,04/2023,8
920,78664,05/2023,8
921,78664,06/2023,3
922,78664,07/2023,4
923,78664,08/2023,2
924,78669,01/2020,1
925,78669,02/2020,2
926,78669,03/2020,0
927,78669,04/2020,1
928,78669,05/2020,0
929,78669,06/2020,1
930,78669,07/2020,0
931,78669,08/2020,1
932,78669,09/2020,2
933,78669,10/2020,0
934,78669,11/2020,0
935,78669,12/2020,0
936,78669,01/2021,3
937,78669,02/2021,0
938,78669,03/2021,0
939,78669,04/2021,0
940,78669,05/2021,0
941,78669,06/2021,0
942,78669,07/2021,1
943,78669,08/2021,1
944,78669,09/2021,1
945,78669,10/2021,1
946,78669,11/2021,1
947,78669,12/2021,1
948,78669,01/2022,2
949,78669,02/2022,0
950,78669,03/2022,2
951,78669,04/2022,1
952,78669,05/2022,0
953,78669,06/2022,0
954,78669,07/2022,1
955,78669,08/2022,2
956,78669,09/2022,0
957,78669,10/2022,4
958,78669,11/2022,1
959,78669,12/2022,1
960,78669,01/2023,1
961,78669,02/2023,3
962,78669,03/2023,1
963,78669,04/2023,1
964,78669,05/2023,1
965,78669,06/2023,2
966,78669,07/2023,0
967,78669,08/2023,0
968,78691,01/2020,0
969,78691,02/2020,0
970,78691,03/2020,0
971,78691,04/2020,0
972,78691,05/2020,0
973,78691,06/2020,0
974,78691,07/2020,0
975,78691,08/2020,0
976,78691,09/2020,0
977,78691,10/2020,0
978,78691,11/2020,0
979,78691,12/2020,0
980,78691,01/2021,0
981,78691,02/2021,0
982,78691,03/2021,0
983,78691,04/2021,0
984,78691,05/2021,0
985,78691,06/2021,0
986,78691,07/2021,0
987,78691,08/2021,0
988,78691,09/2021,0
989,78691,10/2021,0
990,78691,11/2021,0
991,78691,12/2021,0
992,78691,01/2022,0
993,78691,02/2022,0
994,78691,03/2022,0
995,78691,04/2022,0
996,78691,05/2022,0
997,78691,06/2022,0
998,78691,07/2022,0
999,78691,08/2022,0
1000,78691,09/2022,0
1001,78691,10/2022,0
1002,78691,11/2022,0
1003,78691,12/2022,0
1004,78691,01/2023,0
1005,78691,02/2023,0
1006,78691,03/2023,0
1007,78691,04/2023,0
1008,78691,05/2023,0
1009,78691,06/2023,0
1010,78691,07/2023,0
1011,78691,08/2023,0
1012,78701,01/2020,6
1013,78701,02/2020,3
1014,78701,03/2020,1
1015,78701,04/2020,0
1016,78701,05/2020,0
1017,78701,06/2020,2
1018,78701,07/2020,0
1019,78701,08/2020,0
1020,78701,09/2020,0
