,NAME,S1901_C01_001E
851, 77056,11003
852, 77057,19836
853, 77058,8210
854, 77059,5832
855, 77060,13837
856, 77061,8664
857, 77062,9601
858, 77063,18455
859, 77064,16364
860, 77065,15104
861, 77066,10650
862, 77067,10187
863, 77068,3940
864, 77069,8020
865, 77070,20053
866, 77071,10040
867, 77072,18096
868, 77073,13140
869, 77074,13181
870, 77075,13042
871, 77076,9816
872, 77077,26605
873, 77078,4672
874, 77079,12159
875, 77080,15243
876, 77081,18656
877, 77082,22334
878, 77083,22434
879, 77084,34864
880, 77085,5228
881, 77086,8025
882, 77087,11089
883, 77088,17396
884, 77089,16997
885, 77090,15892
886, 77091,9785
887, 77092,14105
888, 77093,12591
889, 77094,3277
890, 77095,24175
891, 77096,13595
892, 77098,8130
893, 77099,17046
894, 77201,0
895, 77301,10510
896, 77302,6338
897, 77303,6707
898, 77304,12431
899, 77306,3974
900, 77316,7993
901, 77318,5806
902, 77320,9105
903, 77326,46
904, 77327,7795
905, 77328,4781
906, 77331,2784
907, 77334,121
908, 77335,1176
909, 77336,4400
910, 77338,14282
911, 77339,15474
912, 77340,10986
913, 77342,0
914, 77345,9508
915, 77346,20953
916, 77350,70
917, 77351,12016
918, 77354,12171
919, 77355,9386
920, 77356,11315
921, 77357,7659
922, 77358,1824
923, 77359,171
924, 77360,2210
925, 77362,1733
926, 77363,1310
927, 77364,818
928, 77365,11176
929, 77367,67
930, 77368,68
931, 77369,238
932, 77371,2510
933, 77372,4222
934, 77373,19975
935, 77374,173
936, 77375,17002
937, 77376,249
938, 77377,11950
939, 77378,5157
940, 77379,27041
941, 77380,11686
942, 77381,14137
943, 77382,13204
944, 77384,7163
945, 77385,8600
946, 77386,17158
947, 77388,16553
948, 77389,11245
949, 77396,17960
950, 77401,7008
951, 77406,15096
952, 77407,15337
953, 77412,12
954, 77414,8646
955, 77415,17
956, 77417,1018
957, 77418,4115
958, 77419,433
959, 77420,906
960, 77422,4834
961, 77423,3592
962, 77426,781
963, 77428,0
964, 77429,28386
965, 77430,784
966, 77432,37
967, 77433,24884
968, 77434,1624
969, 77435,1545
970, 77436,13
971, 77437,6137
972, 77440,23
973, 77441,3670
974, 77442,361
975, 77443,53
976, 77444,245
977, 77445,4579
978, 77446,719
979, 77447,4842
980, 77448,71
981, 77449,34991
982, 77450,24841
983, 77451,25
984, 77453,98
985, 77454,15
986, 77455,794
987, 77456,596
988, 77457,199
989, 77458,61
990, 77459,21874
991, 77460,20
992, 77461,3840
993, 77464,76
994, 77465,2691
995, 77466,167
996, 77467,13
997, 77468,20
998, 77469,15544
999, 77470,179
1000, 77471,13055
1001, 77473,31
1002, 77474,4507
1003, 77475,335
1004, 77476,71
1005, 77477,13101
1006, 77478,9295
1007, 77479,28469
1008, 77480,2933
1009, 77481,8
1010, 77482,912
1011, 77483,79
1012, 77484,3679
1013, 77485,1494
1014, 77486,2673
1015, 77488,5379
1016, 77489,11963
1017, 77493,9817
1018, 77494,35342
1019, 77498,15216
1020, 77502,10803
1021, 77503,7910
1022, 77504,8697
1023, 77505,8300
1024, 77506,10954
1025, 77507,0
1026, 77510,5374
